,Metabolit,Part,Molecular Formula,Molecular Weight,CID Kanaya,CID Pubchem,Canonical SMILES,Referensi  Antivirus,Referensi  Antimalaria/Antiplasmodium,Referensi  Treatment Meningitis,enumerator,species,CID PubChem,Referensi,Akar,Batang,Daun,Bunga,Buah,Referensi kandungan,Referensi Kandungan,Biji,Essential oil,Cabang,sinonim,Referensi 1,Referensi 2,referensi 3 (part),Sinonim,Referensi 1 (Metabolite),Referensi 2 ,Referensi 3,Referensi 1 (metabolit),"Referensi 2 (3D, Smiles)"
0,Curcumin,Rhizome,C21H20O6,368.12598837,C00002731,969516,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,,,,Lisna (LH),001_LH_Curcuma longa,,,,,,,,,,,,,,,,,,,,,,
1,Robustaflavone,,C30H18O10,538.0899968,C00001094,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O)O,,,,Adnan (MA),1316. Agathis robusta,5281694,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001094, https://pubchem.ncbi.nlm.nih.gov/compound/Robustaflavone",,,,,,,,,,,,,,,,,,,,
2,"7,7''-Di-O-methylagathisflavone",,C32H22O10,566.12129692,C00006453,,,,,,Adnan (MA),1316. Agathis robusta,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00006453,,,,,,,,,,,,,,,,,,,,
3,"13S-Hydroxy-7,14-labdadien-19-oic acid",,C20H32O3,320.23514489,C00022407,,,,,,Adnan (MA),1316. Agathis robusta,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00022407,,,,,,,,,,,,,,,,,,,,
4,"13alpha-Hydroxy-8,14-labdadien-19-oic acid",,C20H32O3,320.23514489,C00022484,,,,,,Adnan (MA),1316. Agathis robusta,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00022484,,,,,,,,,,,,,,,,,,,,
5,Agathalic acid,,C20H30O3,318.21949482,C00022709,,,,,,Adnan (MA),1316. Agathis robusta,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00022709,,,,,,,,,,,,,,,,,,,,
6,13-Epicupressic acid,,C20H32O3,320.23514489,C00022722,,,,,,Adnan (MA),1316. Agathis robusta,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00022722,,,,,,,,,,,,,,,,,,,,
7,trans-Communic acid,,C20H30O2,302.2245802,C00036233,,CC(=CCC1C(=C)CCC2C1(CCCC2(C)C(=O)O)C)C=C,,,,Adnan (MA),1316. Agathis robusta,637125,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00036233,,,,,,,,,,,,,,,,,,,,
8,C00001014,,Agathisflavone,C30H18O10,538.0899968,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O)O)O,,,,Adnan (MA),1315. Agathis dammara,5281599,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001014, https://pubchem.ncbi.nlm.nih.gov/compound/Agathisflavone",,,,,,,,,,,,,,,,,,,,
9,C00001034,,Cupressuflavone,C30H18O10,538.0899968,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O)O,,,,Adnan (MA),1315. Agathis dammara,5281609,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00001034, https://pubchem.ncbi.nlm.nih.gov/compound/Cupressuflavone",,,,,,,,,,,,,,,,,,,,
10,C00006452,,7-O-Methylagathisflavone,C31H20O10,552.10564686,,,,,,Adnan (MA),1315. Agathis dammara,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00006452,,,,,,,,,,,,,,,,,,,,
11,C00006454,,"7,4'''-Di-O-Methylagathisflavone",C32H22O10,566.12129692,,,,,,Adnan (MA),1315. Agathis dammara,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00006454,,,,,,,,,,,,,,,,,,,,
12,C00006459,,7-O-Methylcupressuflavone,C31H20O10,552.10564686,,,,,,Adnan (MA),1315. Agathis dammara,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00006459,,,,,,,,,,,,,,,,,,,,
13,C00006461,,"7,7''-Di-O-methylcupressuflavone",C32H22O10,566.12129692,,,,,,Adnan (MA),1315. Agathis dammara,,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00006461,,,,,,,,,,,,,,,,,,,,
14,Diosgenin,,C27H42O3,414.31339521,C00003576,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,99474 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003576, https://pubchem.ncbi.nlm.nih.gov/compound/Diosgenin",,,,,,,,,,,,,,,,,,,,
15,Protodioscin,,C51H84O22,1048.54542437,C00003585,,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O,,,,Adnan (MA),Borassus flabellifer,441891,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003585, https://pubchem.ncbi.nlm.nih.gov/compound/Protodioscin",,,,,,,,,,,,,,,,,,,,
16,Protoneodioscin,,C51H84O22,1048.54542437,C00003596,,,,,,Adnan (MA),Borassus flabellifer,,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003596, https://pubchem.ncbi.nlm.nih.gov/substance/526139",,,,,,,,,,,,,,,,,,,,
17,Yamogenin,,C27H42O3,414.31339521,C00003597,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,441900 ,http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003597,,,,,,,,,,,,,,,,,,,,
18,(-)-beta-Sitosterol,,C29H50O,414.38616622,C00003672,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,,,,Adnan (MA),Borassus flabellifer,222284,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00003672, https://pubchem.ncbi.nlm.nih.gov/compound/beta-Sitosterol",,,,,,,,,,,,,,,,,,,,
19,3-O-beta-D-Glucopyranosyl sitosterol,,C35H60O6,576.43898965,C00019308,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,,,,Adnan (MA),Borassus flabellifer,70699351,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00019308, https://pubchem.ncbi.nlm.nih.gov/compound/3-O-_beta-D-Glucopyranosyl_-stigmast-5-en-3beta-ol",,,,,,,,,,,,,,,,,,,,
20,Borassoside A,,C45H72O16,868.48203625,C00029838,,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)C)O)O)O)O)O)O)O)C)C)C)OC1,,,,Adnan (MA),Borassus flabellifer,16204068,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00029838, https://pubchem.ncbi.nlm.nih.gov/compound/16204068",,,,,,,,,,,,,,,,,,,,
21,Borassoside B,,C45H72O18,900.4718655,C00029839,,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC19C(CC(CO9)CO)O,,,,Adnan (MA),Borassus flabellifer,102155844 ,"http://www.knapsackfamily.com/knapsack_core/information.php?word=C00029839, https://pubchem.ncbi.nlm.nih.gov/compound/102155844",,,,,,,,,,,,,,,,,,,,
