,enumerator,family,family_2,misc1,misc2,misc3,file,path
0,Lisna (LH),Curcuma longa,,,,,001_CID969516_Curcumin.sdf,drive/My Drive/Database Ligan Covid-19/Lisna (LH)/Curcuma longa/001_CID969516_Curcumin.sdf
1,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,"010_2,6-Dimethoxy-p-benzoquinone_CID_68262.sdf","drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_2,6-Dimethoxy-p-benzoquinone_CID_68262.sdf"
2,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Spathulenol_CID_92231.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Spathulenol_CID_92231.sdf
3,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,"010_5,7-Dimethoxyflavone_CID_88881.sdf","drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_5,7-Dimethoxyflavone_CID_88881.sdf"
4,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Sebacic acid_CID_5192.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Sebacic acid_CID_5192.sdf
5,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Cyanin_CID_441688.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Cyanin_CID_441688.sdf
6,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Gallic acid_CID_370.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Gallic acid_CID_370.sdf
7,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Phytol_CID_5280435.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Phytol_CID_5280435.sdf
8,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_beta-Sitosterol_CID_222284.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_beta-Sitosterol_CID_222284.sdf
9,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Lupenol_CID_259846.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Lupenol_CID_259846.sdf
10,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Lupeol acetate_CID_92157.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Lupeol acetate_CID_92157.sdf
11,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Parent Compound_Pulcherrimin_CID_70698373.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Parent Compound_Pulcherrimin_CID_70698373.sdf
12,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_6-Methoxypulcherrimin_CID_44260092.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_6-Methoxypulcherrimin_CID_44260092.sdf
13,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Quercetin 3-O-L-rhamnoside_CID_5353915.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Quercetin 3-O-L-rhamnoside_CID_5353915.sdf
14,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Quercimeritrin_CID_5282160.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Quercimeritrin_CID_5282160.sdf
15,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Rutin_CID_5280805.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Rutin_CID_5280805.sdf
16,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Myricitrin_CID_5281673.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Myricitrin_CID_5281673.sdf
17,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Isoliquiritigenin 4'-methyl ether_CID_6537040.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Isoliquiritigenin 4'-methyl ether_CID_6537040.sdf
18,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_(-)-beta-Caryophyllene epoxide_CID_14350.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_(-)-beta-Caryophyllene epoxide_CID_14350.sdf
19,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,"010_(2S)-5,7-Dimethoxy-3',4'-methylenedioxyflavanone_CID_10336604.sdf","drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_(2S)-5,7-Dimethoxy-3',4'-methylenedioxyflavanone_CID_10336604.sdf"
20,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,"010_ 2'-Hydroxy-2,3,4',6'-tetramethoxychalcone_CID_10337542.sdf","drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_ 2'-Hydroxy-2,3,4',6'-tetramethoxychalcone_CID_10337542.sdf"
21,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Bonducellin_CID_14079439.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Bonducellin_CID_14079439.sdf
22,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_(-)-alpha-Cadinol_CID_10398656.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_(-)-alpha-Cadinol_CID_10398656.sdf
23,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_8-Methoxybonducellin_CID_73299135.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_8-Methoxybonducellin_CID_73299135.sdf
24,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Leucodelphinidin_CID_44563331.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Leucodelphinidin_CID_44563331.sdf
25,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Isobonducellin_CID_10423880.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Isobonducellin_CID_10423880.sdf
26,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Caesaldekarin A_CID_10383930.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Caesaldekarin A_CID_10383930.sdf
27,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_7-Hydroxycadalene_CID_608115.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_7-Hydroxycadalene_CID_608115.sdf
28,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Teucladiol_CID_16046185.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Teucladiol_CID_16046185.sdf
29,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Pulcherralpin_CID_6441173.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Pulcherralpin_CID_6441173.sdf
30,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Isovouacapenol C_CID_3009285.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Isovouacapenol C_CID_3009285.sdf
31,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Neocaesalpin P_CID_102286692.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Neocaesalpin P_CID_102286692.sdf
32,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Neocaesalpin Q_CID_102286693.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Neocaesalpin Q_CID_102286693.sdf
33,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Neocaesalpin R_CID_102286694.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Neocaesalpin R_CID_102286694.sdf
34,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,"010_Benzyl 2,6-dimethoxybenzoate_CID_370912.sdf","drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Benzyl 2,6-dimethoxybenzoate_CID_370912.sdf"
35,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Isovouacapenol A_CID_636673.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Isovouacapenol A_CID_636673.sdf
36,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Isovouacapenol B_CID_11812203.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Isovouacapenol B_CID_11812203.sdf
37,Yustika Sari (YS),Caesalpiniaceae,010-Caesalpinia pulcherrima,,,,010_Isovouacapenol D_CID_10905866.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/010-Caesalpinia pulcherrima/010_Isovouacapenol D_CID_10905866.sdf
38,Yustika Sari (YS),Caesalpiniaceae,009-Saraca indica,,,,Conformer3D_CID_441688.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/009-Saraca indica/Conformer3D_CID_441688.sdf
39,Yustika Sari (YS),Caesalpiniaceae,009-Saraca indica,,,,Conformer3D_CID_441772.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Caesalpiniaceae/009-Saraca indica/Conformer3D_CID_441772.sdf
40,Yustika Sari (YS),Cactaceae,004-Hylocereus undatus,,,,Conformer3D_CID_247.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cactaceae/004-Hylocereus undatus/Conformer3D_CID_247.sdf
41,Yustika Sari (YS),Cactaceae,004-Hylocereus undatus,,,,Conformer3D_CID_101168510.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cactaceae/004-Hylocereus undatus/Conformer3D_CID_101168510.sdf
42,Yustika Sari (YS),Cactaceae,004-Hylocereus undatus,,,,Conformer3D_CID_101056997.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cactaceae/004-Hylocereus undatus/Conformer3D_CID_101056997.sdf
43,Yustika Sari (YS),Cactaceae,004-Hylocereus undatus,,,,Conformer3D_CID_102153061.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Cactaceae/004-Hylocereus undatus/Conformer3D_CID_102153061.sdf
44,Yustika Sari (YS),Campanulaceae,013-Hippobroma longiflora,,,,Conformer3D_CID_273.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Campanulaceae/013-Hippobroma longiflora/Conformer3D_CID_273.sdf
45,Yustika Sari (YS),Campanulaceae,013-Hippobroma longiflora,,,,Conformer3D_CID_442647.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Campanulaceae/013-Hippobroma longiflora/Conformer3D_CID_442647.sdf
46,Yustika Sari (YS),Campanulaceae,013-Hippobroma longiflora,,,,Conformer3D_CID_101616.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Campanulaceae/013-Hippobroma longiflora/Conformer3D_CID_101616.sdf
47,Yustika Sari (YS),Campanulaceae,013-Hippobroma longiflora,,,,Conformer3D_CID_443849.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Campanulaceae/013-Hippobroma longiflora/Conformer3D_CID_443849.sdf
48,Yustika Sari (YS),Campanulaceae,013-Hippobroma longiflora,,,,Conformer3D_CID_68161.sdf,drive/My Drive/Database Ligan Covid-19/Yustika Sari (YS)/Campanulaceae/013-Hippobroma longiflora/Conformer3D_CID_68161.sdf
