,Accession,Geo_Location,s-gene_location,gene_length,protein_id,protein_length
0,NC_045512,China,[21562:25384](+),3822.0,YP_009724390.1,1273.0
1,MT444148,USA,[21549:25371](+),3822.0,QJQ82624.1,1273.0
2,MT444515,USA,[21530:25352](+),3822.0,QJQ82636.1,1273.0
3,MT444516,USA,[21512:25334](+),3822.0,QJQ82648.1,1273.0
4,MT444517,USA,[21523:25345](+),3822.0,QJQ82660.1,1273.0
5,MT444518,USA,[21523:25345](+),3822.0,QJQ82672.1,1273.0
6,MT444519,USA,[21514:25336](+),3822.0,QJQ82684.1,1273.0
7,MT444520,USA,[21558:25380](+),3822.0,QJQ82696.1,1273.0
8,MT444521,USA,[21514:25336](+),3822.0,QJQ82708.1,1273.0
9,MT444522,USA,[21512:25334](+),3822.0,QJQ82720.1,1273.0
10,MT444523,USA,[21551:25373](+),3822.0,QJQ82732.1,1273.0
11,MT444524,USA,[21522:25344](+),3822.0,QJQ82744.1,1273.0
12,MT444525,USA,[21508:25330](+),3822.0,QJQ82756.1,1273.0
13,MT444526,USA,[21512:25334](+),3822.0,QJQ82768.1,1273.0
14,MT444527,USA,[21512:25334](+),3822.0,QJQ82780.1,1273.0
15,MT444528,USA,[21522:25344](+),3822.0,QJQ82792.1,1273.0
16,MT444529,USA,[21512:25334](+),3822.0,QJQ82804.1,1273.0
17,MT444530,USA,[21547:25369](+),3822.0,QJQ82816.1,1273.0
18,MT444531,USA,[21514:25336](+),3822.0,QJQ82828.1,1273.0
19,MT444532,USA,[21523:25345](+),3822.0,QJQ82840.1,1273.0
20,MT444533,USA,[21532:25354](+),3822.0,QJQ82852.1,1273.0
21,MT444534,USA,[21522:25344](+),3822.0,QJQ82864.1,1273.0
23,MT444536,USA,[21545:25367](+),3822.0,QJQ82888.1,1273.0
24,MT444537,USA,[21514:25336](+),3822.0,QJQ82900.1,1273.0
25,MT444538,USA,[21523:25345](+),3822.0,QJQ82912.1,1273.0
26,MT444539,USA,[21551:25373](+),3822.0,QJQ82924.1,1273.0
27,MT444540,USA,[21520:25342](+),3822.0,QJQ82936.1,1273.0
28,MT444541,USA,[21522:25344](+),3822.0,QJQ82948.1,1273.0
29,MT444542,USA,[21523:25345](+),3822.0,QJQ82960.1,1273.0
30,MT444543,USA,[21523:25345](+),3822.0,QJQ82972.1,1273.0
32,MT444545,USA,[21558:25380](+),3822.0,QJQ82996.1,1273.0
33,MT444546,USA,[21550:25372](+),3822.0,QJQ83008.1,1273.0
34,MT444547,USA,[21522:25344](+),3822.0,QJQ83020.1,1273.0
35,MT444548,USA,[21540:25362](+),3822.0,QJQ83032.1,1273.0
36,MT444549,USA,[21523:25345](+),3822.0,QJQ83044.1,1273.0
37,MT444550,USA,[21531:25353](+),3822.0,QJQ83056.1,1273.0
38,MT444551,USA,[21523:25345](+),3822.0,QJQ83068.1,1273.0
39,MT444552,USA,[21523:25345](+),3822.0,QJQ83080.1,1273.0
40,MT444553,USA,[21523:25345](+),3822.0,QJQ83092.1,1273.0
41,MT444554,USA,[21523:25345](+),3822.0,QJQ83104.1,1273.0
42,MT444555,USA,[21522:25344](+),3822.0,QJQ83116.1,1273.0
43,MT444556,USA,[21513:25335](+),3822.0,QJQ83128.1,1273.0
44,MT444557,USA,[21512:25334](+),3822.0,QJQ83140.1,1273.0
46,MT444559,USA,[21522:25344](+),3822.0,QJQ83164.1,1273.0
47,MT444560,USA,[21522:25344](+),3822.0,QJQ83176.1,1273.0
48,MT444561,USA,[21538:25360](+),3822.0,QJQ83188.1,1273.0
49,MT444562,USA,[21514:25336](+),3822.0,QJQ83200.1,1273.0
50,MT444563,USA,[21521:25343](+),3822.0,QJQ83212.1,1273.0
51,MT444564,USA,[21551:25373](+),3822.0,QJQ83224.1,1273.0
52,MT444565,USA,[21516:25338](+),3822.0,QJQ83236.1,1273.0
53,MT444566,USA,[21522:25344](+),3822.0,QJQ83248.1,1273.0
54,MT444567,USA,[21552:25374](+),3822.0,QJQ83260.1,1273.0
55,MT444568,USA,[21520:25342](+),3822.0,QJQ83272.1,1273.0
56,MT444569,USA,[21523:25345](+),3822.0,QJQ83284.1,1273.0
57,MT444570,USA,[21550:25372](+),3822.0,QJQ83296.1,1273.0
58,MT444571,USA,[21520:25342](+),3822.0,QJQ83308.1,1273.0
59,MT444572,USA,[21545:25367](+),3822.0,QJQ83320.1,1273.0
60,MT444573,USA,[21555:25377](+),3822.0,QJQ83332.1,1273.0
61,MT444574,USA,[21523:25345](+),3822.0,QJQ83344.1,1273.0
