,Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,s-gene_location,gene_length,protein_id,protein_length
0,NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,2019-12,[21562:25384](+),3822,YP_009724390.1,1273
1,MT444148,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,USA: CA,Homo sapiens,oronasopharynx,2020-03-11,[21549:25371](+),3822,QJQ82624.1,1273
2,MT444515,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29804,USA,Homo sapiens,,2020-03-16,[21530:25352](+),3822,QJQ82636.1,1273
3,MT444516,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-16,[21512:25334](+),3822,QJQ82648.1,1273
4,MT444517,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-03-16,[21523:25345](+),3822,QJQ82660.1,1273
5,MT444518,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-03-16,[21523:25345](+),3822,QJQ82672.1,1273
6,MT444519,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens,,2020-03-16,[21514:25336](+),3822,QJQ82684.1,1273
7,MT444520,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,USA,Homo sapiens,,2020-03-16,[21558:25380](+),3822,QJQ82696.1,1273
8,MT444521,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens,,2020-03-17,[21514:25336](+),3822,QJQ82708.1,1273
9,MT444522,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-16,[21512:25334](+),3822,QJQ82720.1,1273
10,MT444523,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,USA,Homo sapiens,,2020-03-17,[21551:25373](+),3822,QJQ82732.1,1273
11,MT444524,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-03-15,[21522:25344](+),3822,QJQ82744.1,1273
12,MT444525,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,USA,Homo sapiens,,2020-03-16,[21508:25330](+),3822,QJQ82756.1,1273
13,MT444526,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-15,[21512:25334](+),3822,QJQ82768.1,1273
14,MT444527,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-17,[21512:25334](+),3822,QJQ82780.1,1273
15,MT444528,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA,Homo sapiens,,2020-03-17,[21522:25344](+),3822,QJQ82792.1,1273
16,MT444529,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-17,[21512:25334](+),3822,QJQ82804.1,1273
17,MT444530,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA,Homo sapiens,,2020-03-15,[21547:25369](+),3822,QJQ82816.1,1273
18,MT444531,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens,,2020-03-14,[21514:25336](+),3822,QJQ82828.1,1273
19,MT444532,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA,Homo sapiens,,2020-03-14,[21523:25345](+),3822,QJQ82840.1,1273
20,MT444533,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA,Homo sapiens,,2020-03-15,[21532:25354](+),3822,QJQ82852.1,1273
21,MT444534,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens,,2020-03-30,[21522:25344](+),3822,QJQ82864.1,1273
22,MT444535,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29786,USA,Homo sapiens,,2020-03-31,[<21632:25334](+),3702,QJQ82876.1,1233
23,MT444536,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA,Homo sapiens,,2020-03-30,[21545:25367](+),3822,QJQ82888.1,1273
24,MT444537,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA,Homo sapiens,,2020-03-30,[21514:25336](+),3822,QJQ82900.1,1273
25,MT444538,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-03-30,[21523:25345](+),3822,QJQ82912.1,1273
26,MT444539,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA,Homo sapiens,,2020-03-30,[21551:25373](+),3822,QJQ82924.1,1273
27,MT444540,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA,Homo sapiens,,2020-03-31,[21520:25342](+),3822,QJQ82936.1,1273
28,MT444541,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA,Homo sapiens,,2020-04-02,[21522:25344](+),3822,QJQ82948.1,1273
29,MT444542,2020-05-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA,Homo sapiens,,2020-04-02,[21523:25345](+),3822,QJQ82960.1,1273
